Iteration 1/500: F1 score = 0.6659611640435492, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 98/500: F1 score = 0.6346911366998654, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 256}
Iteration 99/500: F1 score = 0.4054699671311941, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 512}
Iteration 100/500: F1 score = 0.1484473016780445, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 101/500: F1 score = 0.5578887733786507, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 102/500: F1 score = 0.2537134147736235, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 103/500: F1 score = 0.6498626646392277, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 104/500: F1 score = 0.32167186593253455, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 105/500: F1 score = 0.1312818053251681, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 106/500: F1 score = 0.6486465483942898, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 107/500: F1 score = 0.6520138524600361, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 108/500: F1 score = 0.5825974264874908, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 109/500: F1 score = 0.26006201656416833, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 110/500: F1 score = 0.5334237996687402, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 111/500: F1 score = 0.6308889428677836, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 112/500: F1 score = 0.684218106889822, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 113/500: F1 score = 0.6716451046815118, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 114/500: F1 score = 0.5709258935242009, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 115/500: F1 score = 0.44890535360372047, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 116/500: F1 score = 0.6955926523022634, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 117/500: F1 score = 0.6605580125598406, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 118/500: F1 score = 0.6756438410689217, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 119/500: F1 score = 0.42036371415723767, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 120/500: F1 score = 0.696094189537015, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 121/500: F1 score = 0.6794387141758284, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 1, 'batch_size': 64}
Iteration 122/500: F1 score = 0.7313861111112133, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 1, 'batch_size': 128}
Iteration 123/500: F1 score = 0.7184119428261097, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 1, 'batch_size': 256}
Iteration 124/500: F1 score = 0.22674541979452764, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 1, 'batch_size': 512}
Iteration 125/500: F1 score = 0.29203906578340594, params = {'learning_rate': 0.0001, 'dropout_rate': 0.5, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 126/500: F1 score = 0.6934323030176816, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 127/500: F1 score = 0.6099977119666943, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 128/500: F1 score = 0.6940358548318583, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 129/500: F1 score = 0.666159802009609, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 130/500: F1 score = 0.5032736905576277, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 131/500: F1 score = 0.6256555137600687, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 132/500: F1 score = 0.6439236544982699, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 133/500: F1 score = 0.6516014726588325, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 134/500: F1 score = 0.6935196203941737, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 135/500: F1 score = 0.6872678806677331, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 136/500: F1 score = 0.7011785486224508, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 137/500: F1 score = 0.5832992602030406, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 138/500: F1 score = 0.5068951653835783, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 139/500: F1 score = 0.7162983748899677, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 140/500: F1 score = 0.6267523269940399, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 141/500: F1 score = 0.6586795791429911, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 142/500: F1 score = 0.637485668776285, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 143/500: F1 score = 0.5782027545497131, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 144/500: F1 score = 0.5814127991974113, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 145/500: F1 score = 0.7201741879875475, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 146/500: F1 score = 0.6293985350815412, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 64}
Iteration 147/500: F1 score = 0.4708574498583263, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 128}
Iteration 148/500: F1 score = 0.6017844569673351, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 256}
Iteration 149/500: F1 score = 0.5358686149106363, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 512}
Iteration 150/500: F1 score = 0.45240668498675296, params = {'learning_rate': 0.001, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 151/500: F1 score = 0.654554171513373, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 152/500: F1 score = 0.6705530722479037, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 153/500: F1 score = 0.7132732763225013, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 154/500: F1 score = 0.6482720509904191, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 155/500: F1 score = 0.6316164882504866, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 156/500: F1 score = 0.7263700165625565, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 157/500: F1 score = 0.5825346512508828, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 158/500: F1 score = 0.6790061455178323, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 159/500: F1 score = 0.6639183708371709, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 160/500: F1 score = 0.4236346424300032, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 161/500: F1 score = 0.6317606966492586, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 162/500: F1 score = 0.7071544558724713, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 163/500: F1 score = 0.6160309634401272, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 164/500: F1 score = 0.6361488724385015, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 165/500: F1 score = 0.4894880163056626, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 166/500: F1 score = 0.5622712142079019, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 167/500: F1 score = 0.6605734715813456, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 168/500: F1 score = 0.616470838044968, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 169/500: F1 score = 0.5344022680333096, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 170/500: F1 score = 0.6382480515197944, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 171/500: F1 score = 0.6347761061582652, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 64}
Iteration 172/500: F1 score = 0.5253495694254059, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 128}
Iteration 173/500: F1 score = 0.636917988064659, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 256}
Iteration 174/500: F1 score = 0.4155250831498026, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 512}
Iteration 175/500: F1 score = 0.4546382560171172, params = {'learning_rate': 0.001, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 176/500: F1 score = 0.6651110367654894, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 177/500: F1 score = 0.6549349704936297, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 128}
